Frame	X1	Y1	X2	Y2	X3	Y3	X4	Y4	X5	Y5	X6	Y6	X7	Y7	X8	Y8	L1	L2	L3	L4	L5	L6	L7	L8
0	3.174660092308408	9.584213079220403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
1	3.175765396486445	9.581752748842593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
2	3.1690767179963175	9.57920218977348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
3	3.171535225685951	9.580424184647818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
4	3.180899927994043	9.58691070395172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
5	3.1796473113058132	9.594371266844412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
6	3.180662616747155	9.593004337694278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
7	3.180482849449561	9.593004337694278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
8	3.1843005452215167	9.595434118200231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
9	3.182597704674011	9.592897768373843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
10	3.184820051995742	9.590929077794312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
11	3.180233108709625	9.583445069651125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
12	3.182908672175995	9.583841507523148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
13	3.1881914368969744	9.585619794250166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
14	3.1845113862517294	9.58205043247768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
15	3.183087518770401	9.583556612206515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
16	3.187281321794942	9.584495843150629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
17	3.1848872633285175	9.584807025566302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
18	3.181018468529589	9.587557934957838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
19	3.1832728102871273	9.583463541666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
20	3.1848407678174877	9.584643619274967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
21	3.1813340395475165	9.58437080181465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
22	3.1799242127898153	9.588387044270833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	('N', 9, 23)	0	0	0	0	0	0	0
